time,price,pchange,change,volume,amount,type
15:00:03,21.07,-3.08,0.02,232,488824,buy
14:57:00,21.05,-3.17,0.0,0,0,sell
14:56:51,21.05,-3.17,0.02,7,14735,norm
14:56:21,21.03,-3.27,-0.04,1,2103,norm
14:56:12,21.07,-3.08,0.04,48,101136,buy
14:56:06,21.03,-3.27,0.01,39,82017,buy
14:56:03,21.02,-3.31,-0.01,12,25224,sell
14:56:00,21.03,-3.27,0.0,10,21030,buy
14:55:54,21.03,-3.27,0.0,16,33648,sell
14:55:51,21.03,-3.27,-0.01,11,23133,sell
14:55:45,21.04,-3.22,0.0,18,37872,buy
14:55:39,21.04,-3.22,0.01,24,50496,buy
14:55:36,21.03,-3.27,0.0,2,4206,sell
14:55:33,21.03,-3.27,0.0,10,21030,sell
14:55:21,21.03,-3.27,0.0,6,12618,sell
14:55:18,21.03,-3.27,0.01,5,10515,norm
14:55:15,21.02,-3.31,-0.01,38,80044,sell
14:55:12,21.03,-3.27,0.01,58,121974,buy
14:55:06,21.02,-3.31,-0.01,10,21020,sell
14:55:00,21.03,-3.27,0.0,6,12618,buy
14:54:48,21.03,-3.27,0.03,43,90429,buy
14:54:36,21.0,-3.40,0.0,1,2100,sell
14:54:24,21.0,-3.40,0.0,4,8400,sell
14:54:21,21.0,-3.40,0.0,33,69300,buy
14:54:09,21.0,-3.40,-0.02,6,12600,sell
14:54:00,21.02,-3.31,-0.01,13,27326,norm
14:53:06,21.03,-3.27,0.0,1,2103,sell
14:52:54,21.03,-3.27,-0.01,3,6309,sell
14:52:45,21.04,-3.22,0.01,8,16832,norm
14:52:42,21.03,-3.27,-0.01,10,21030,sell
14:52:36,21.04,-3.22,0.0,2,4208,sell
14:52:33,21.04,-3.22,0.01,1,2104,buy
14:52:30,21.03,-3.27,-0.01,10,21030,sell
14:52:27,21.04,-3.22,0.01,9,18936,buy
14:52:21,21.03,-3.27,0.08,23,48369,buy
14:52:12,20.95,-3.63,0.0,2,4190,sell
14:52:09,20.95,-3.63,0.0,26,54470,sell
14:52:03,20.95,-3.63,0.0,12,25140,sell
14:51:57,20.95,-3.63,0.01,4,8380,buy
14:51:54,20.94,-3.68,0.0,7,14658,sell
14:51:51,20.94,-3.68,0.0,5,10470,sell
14:51:39,20.94,-3.68,0.0,1,2094,sell
14:51:33,20.94,-3.68,0.04,6,12564,buy
14:51:30,20.9,-3.86,-0.04,5,10450,sell
14:51:24,20.94,-3.68,-0.01,9,18846,norm
14:51:21,20.95,-3.63,0.0,15,31425,sell
14:51:18,20.95,-3.63,0.0,4,8380,sell
14:51:06,20.95,-3.63,0.0,6,12570,buy
14:50:57,20.95,-3.63,0.0,1,2095,norm
14:50:57,20.95,-3.63,-0.01,1,2095,sell
14:50:42,20.96,-3.59,-0.01,30,62880,buy
14:50:24,20.97,-3.54,0.0,1,2097,sell
14:50:06,20.97,-3.54,-0.01,2,4194,sell
14:50:03,20.98,-3.50,0.0,4,8392,sell
14:49:54,20.98,-3.50,-0.01,1,2098,sell
14:49:39,20.99,-3.45,-0.01,6,12594,sell
14:49:33,21.0,-3.40,-0.04,13,27300,sell
14:49:30,21.04,-3.22,0.0,1,2104,buy
14:49:18,21.04,-3.22,0.0,2,4208,buy
14:49:12,21.04,-3.22,0.0,16,33664,sell
14:49:00,21.04,-3.22,-0.01,3,6312,sell
14:48:57,21.05,-3.17,0.01,3,6315,buy
14:48:54,21.04,-3.22,0.0,9,18936,sell
14:48:45,21.04,-3.22,0.0,23,48392,sell
14:48:42,21.04,-3.22,0.0,13,27352,sell
14:48:39,21.04,-3.22,0.0,20,42080,sell
14:48:15,21.04,-3.22,0.0,2,4208,sell
14:48:00,21.04,-3.22,-0.02,4,8416,sell
14:47:21,21.06,-3.13,0.0,15,31590,sell
14:47:03,21.06,-3.13,0.02,9,18954,buy
14:46:48,21.04,-3.22,-0.02,7,14728,norm
14:46:09,21.06,-3.13,0.03,1,2106,buy
14:46:06,21.03,-3.27,0.0,2,4206,sell
14:45:57,21.03,-3.27,0.0,3,6309,sell
14:45:51,21.03,-3.27,0.0,8,16824,sell
14:45:39,21.03,-3.27,0.01,5,10515,norm
14:45:06,21.02,-3.31,-0.05,10,21020,sell
14:44:54,21.07,-3.08,0.05,1,2107,buy
14:44:30,21.02,-3.31,-0.06,2,4204,sell
14:44:12,21.08,-3.04,0.0,1,2108,buy
14:43:57,21.08,-3.04,0.0,10,21080,buy
14:43:06,21.08,-3.04,0.03,11,24980,buy
14:43:03,21.05,-3.17,0.0,3,6315,sell
14:42:54,21.05,-3.17,0.0,1,2105,sell
14:42:51,21.05,-3.17,0.0,10,21050,sell
14:42:45,21.05,-3.17,0.0,4,8420,sell
14:42:33,21.05,-3.17,0.0,1,2105,sell
14:42:27,21.05,-3.17,-0.03,10,21050,sell
14:42:15,21.08,-3.04,0.03,1,2108,buy
14:42:12,21.05,-3.17,0.0,2,4210,sell
14:42:06,21.05,-3.17,0.0,0,316,buy
14:41:51,21.05,-3.17,0.0,14,31259,norm
14:41:51,21.05,-3.17,-0.03,14,31259,sell
14:41:42,21.08,-3.04,-0.01,8,16864,sell
14:41:36,21.09,-2.99,0.0,14,29526,sell
14:41:18,21.09,-2.99,-0.01,10,21090,sell
14:41:15,21.1,-2.94,0.01,10,21100,buy
14:41:12,21.09,-2.99,-0.01,8,16872,sell
14:41:06,21.1,-2.94,0.01,4,8440,buy
14:41:03,21.09,-2.99,0.0,4,8436,sell
14:41:00,21.09,-2.99,0.0,4,8436,buy
14:40:42,21.09,-2.99,0.01,10,21090,buy
14:40:18,21.08,-3.04,0.01,12,25296,buy
14:40:06,21.07,-3.08,-0.01,2,4214,norm
14:40:00,21.08,-3.04,0.03,17,35836,buy
14:39:24,21.05,-3.17,0.01,13,27681,buy
14:39:15,21.04,-3.22,-0.01,3,6312,sell
14:39:12,21.05,-3.17,0.0,0,1789,sell
14:39:09,21.05,-3.17,0.0,0,316,buy
14:39:06,21.05,-3.17,0.0,6,12630,buy
14:38:54,21.05,-3.17,0.0,10,21050,buy
14:38:30,21.05,-3.17,0.01,8,16840,buy
14:38:06,21.04,-3.22,-0.01,4,8416,norm
14:37:51,21.05,-3.17,0.01,20,42100,buy
14:37:45,21.04,-3.22,0.0,5,10520,sell
14:37:42,21.04,-3.22,0.02,1,2104,buy
14:37:30,21.02,-3.31,0.0,17,35734,sell
14:37:21,21.02,-3.31,0.01,10,21020,buy
14:37:06,21.01,-3.36,0.0,2,4202,buy
14:37:03,21.01,-3.36,0.01,1,2101,buy
14:36:51,21.0,-3.40,-0.01,4,8400,norm
14:36:30,21.01,-3.36,0.0,2,4202,buy
14:36:21,21.01,-3.36,-0.01,5,10505,norm
14:36:06,21.02,-3.31,0.03,4,8408,buy
14:35:48,20.99,-3.45,0.0,45,94455,sell
14:35:21,20.99,-3.45,-0.03,50,104950,sell
14:35:12,21.02,-3.31,0.01,14,29428,buy
14:35:06,21.01,-3.36,0.01,4,8404,buy
14:34:57,21.0,-3.40,0.01,1,2100,buy
14:34:51,20.99,-3.45,-0.01,3,6297,sell
14:34:45,21.0,-3.40,0.01,2,4200,buy
14:34:42,20.99,-3.45,-0.01,1,2099,sell
14:34:36,21.0,-3.40,0.0,2,4200,norm
14:34:18,21.0,-3.40,0.02,1,2100,norm
14:34:12,20.98,-3.50,0.0,4,8392,sell
14:34:09,20.98,-3.50,-0.05,1,2098,sell
14:34:06,21.03,-3.27,0.05,4,8412,buy
14:34:00,20.98,-3.50,-0.02,8,16784,sell
14:33:51,21.0,-3.40,0.0,1,2100,buy
14:33:09,21.0,-3.40,0.0,4,8400,buy
14:33:06,21.0,-3.40,0.0,2,4200,buy
14:33:03,21.0,-3.40,0.0,1,2100,buy
14:32:54,21.0,-3.40,0.0,12,25200,sell
14:32:42,21.0,-3.40,0.0,2,4200,norm
14:32:42,21.0,-3.40,0.0,2,4200,sell
14:32:39,21.0,-3.40,0.01,24,50400,buy
14:32:27,20.99,-3.45,-0.01,4,8396,sell
14:32:24,21.0,-3.40,-0.01,10,21000,sell
14:32:18,21.01,-3.36,0.0,2,4202,sell
14:32:12,21.01,-3.36,-0.01,2,4202,sell
14:32:09,21.02,-3.31,-0.01,4,8408,norm
14:31:51,21.03,-3.27,0.0,18,37854,sell
14:31:48,21.03,-3.27,0.0,4,8412,sell
14:31:45,21.03,-3.27,0.0,2,4206,sell
14:31:30,21.03,-3.27,0.0,100,210300,sell
14:31:24,21.03,-3.27,0.0,10,21030,sell
14:31:21,21.03,-3.27,-0.01,20,42060,sell
14:31:18,21.04,-3.22,0.0,5,10520,sell
14:31:15,21.04,-3.22,-0.01,68,143072,sell
14:31:06,21.05,-3.17,0.0,44,94409,sell
14:30:48,21.05,-3.17,0.0,5,10525,sell
14:30:45,21.05,-3.17,0.01,35,73991,buy
14:30:33,21.04,-3.22,-0.01,32,67328,sell
14:30:21,21.05,-3.17,0.0,5,12314,sell
14:30:18,21.05,-3.17,-0.01,4,8420,sell
14:30:12,21.06,-3.13,0.0,6,12636,sell
14:30:06,21.06,-3.13,0.0,3,6318,norm
14:29:48,21.06,-3.13,-0.01,1,2106,norm
14:29:27,21.07,-3.08,0.0,1,2107,sell
14:29:21,21.07,-3.08,-0.01,11,23177,sell
14:29:06,21.08,-3.04,0.01,4,8432,buy
14:29:03,21.07,-3.08,0.02,8,16856,buy
14:28:33,21.05,-3.17,0.0,3,6315,sell
14:28:30,21.05,-3.17,-0.02,20,42100,sell
14:28:21,21.07,-3.08,-0.01,2,4214,sell
14:28:18,21.08,-3.04,0.01,2,4216,buy
14:28:06,21.07,-3.08,-0.01,2,4214,norm
14:27:48,21.08,-3.04,0.03,9,18972,buy
14:27:39,21.05,-3.17,-0.01,25,52625,sell
14:27:30,21.06,-3.13,-0.02,10,21060,sell
14:27:18,21.08,-3.04,0.0,3,6324,sell
14:27:12,21.08,-3.04,-0.01,1,2108,sell
14:27:09,21.09,-2.99,0.0,10,21090,buy
14:27:06,21.09,-2.99,0.0,16,33744,buy
14:27:03,21.09,-2.99,0.0,2,4218,buy
14:26:51,21.09,-2.99,0.0,16,33744,buy
14:26:39,21.09,-2.99,0.0,12,25308,buy
14:26:06,21.09,-2.99,0.0,4,8436,buy
14:26:03,21.09,-2.99,0.01,2,4218,buy
14:25:54,21.08,-3.04,0.0,0,316,sell
14:25:18,21.08,-3.04,0.0,2,4216,buy
14:25:06,21.08,-3.04,0.0,17,35836,buy
14:25:03,21.08,-3.04,-0.01,23,48484,sell
14:24:51,21.09,-2.99,0.01,1,2109,buy
14:24:39,21.08,-3.04,0.0,12,25296,sell
14:24:24,21.08,-3.04,-0.01,2,4216,sell
14:24:21,21.09,-2.99,0.0,9,18981,buy
14:24:06,21.09,-2.99,0.0,4,8436,buy
14:24:00,21.09,-2.99,0.01,5,10545,buy
14:23:51,21.08,-3.04,0.02,25,52700,buy
14:23:39,21.06,-3.13,0.0,1,2106,norm
14:23:39,21.06,-3.13,-0.02,1,2106,sell
14:23:09,21.08,-3.04,0.0,3,6324,sell
14:23:06,21.08,-3.04,0.0,1,2108,buy
14:22:57,21.08,-3.04,-0.02,1,2108,sell
14:22:54,21.1,-2.94,0.01,9,18990,buy
14:22:30,21.09,-2.99,0.0,1,2109,sell
14:22:27,21.09,-2.99,-0.01,1,2109,sell
14:22:06,21.1,-2.94,0.0,6,12660,buy
14:22:00,21.1,-2.94,0.0,5,10550,buy
14:21:57,21.1,-2.94,0.0,2,4220,buy
14:21:54,21.1,-2.94,0.0,6,12660,buy
14:21:45,21.1,-2.94,0.0,5,10550,buy
14:21:30,21.1,-2.94,0.01,26,54860,buy
14:21:18,21.09,-2.99,0.0,5,10545,buy
14:21:06,21.09,-2.99,0.01,34,71706,buy
14:20:48,21.08,-3.04,0.0,10,21080,buy
14:20:45,21.08,-3.04,0.0,5,10540,buy
14:20:18,21.08,-3.04,0.02,1,2108,norm
14:20:15,21.06,-3.13,-0.03,1,2106,sell
14:20:06,21.09,-2.99,0.03,4,8436,buy
14:19:42,21.06,-3.13,0.0,3,6318,sell
14:19:36,21.06,-3.13,-0.03,1,2106,sell
14:19:33,21.09,-2.99,0.02,43,90687,buy
14:19:24,21.07,-3.08,0.0,2,4214,sell
14:19:06,21.07,-3.08,0.01,2,4214,buy
14:19:00,21.06,-3.13,0.02,4,8424,buy
14:18:45,21.04,-3.22,0.0,1,2104,sell
14:18:27,21.04,-3.22,0.0,2,4208,buy
14:18:24,21.04,-3.22,0.0,2,4208,buy
14:18:18,21.04,-3.22,0.01,3,6312,buy
14:18:06,21.03,-3.27,0.03,32,67296,buy
14:17:48,21.0,-3.40,0.0,1,2100,buy
14:17:33,21.0,-3.40,0.0,2,4200,buy
14:17:18,21.0,-3.40,0.0,4,8400,buy
14:17:06,21.0,-3.40,0.01,6,12600,buy
14:16:42,20.99,-3.45,0.01,145,304355,buy
14:16:27,20.98,-3.50,0.01,1,2098,norm
14:16:18,20.97,-3.54,-0.02,6,12582,sell
14:16:12,20.99,-3.45,0.0,31,65069,buy
14:16:06,20.99,-3.45,0.02,4,8396,buy
14:15:42,20.97,-3.54,0.01,22,46134,buy
14:15:24,20.96,-3.59,0.0,66,138336,buy
14:15:06,20.96,-3.59,0.0,4,8384,buy
14:14:48,20.96,-3.59,0.01,3,6288,buy
14:14:24,20.95,-3.63,0.0,1,2095,norm
14:14:24,20.95,-3.63,0.0,1,2095,sell
14:14:09,20.95,-3.63,-0.01,2,4190,sell
14:14:06,20.96,-3.59,0.01,4,8384,buy
14:13:54,20.95,-3.63,0.0,2,4190,buy
14:13:06,20.95,-3.63,0.0,4,8380,buy
14:13:03,20.95,-3.63,0.0,3,6285,buy
14:12:30,20.95,-3.63,0.0,7,14665,sell
14:12:24,20.95,-3.63,0.0,1,2095,sell
14:12:18,20.95,-3.63,-0.01,5,10475,sell
14:12:06,20.96,-3.59,0.0,4,8384,buy
14:11:51,20.96,-3.59,0.0,1,2096,norm
14:11:42,20.96,-3.59,0.0,1,2096,sell
14:11:33,20.96,-3.59,0.0,1,2096,sell
14:11:21,20.96,-3.59,-0.01,28,58688,sell
14:11:15,20.97,-3.54,0.0,18,37746,sell
14:11:09,20.97,-3.54,-0.01,1,2097,sell
14:11:06,20.98,-3.50,0.01,4,8392,buy
14:11:03,20.97,-3.54,-0.02,15,31455,sell
14:10:51,20.99,-3.45,-0.01,10,20990,sell
14:10:42,21.0,-3.40,0.0,1,2100,buy
14:10:36,21.0,-3.40,0.0,10,21000,sell
14:10:09,21.0,-3.40,-0.01,52,110838,sell
14:10:06,21.01,-3.36,0.0,4,8404,buy
14:10:03,21.01,-3.36,-0.02,14,29414,sell
14:10:00,21.03,-3.27,0.0,4,8412,buy
14:09:54,21.03,-3.27,-0.01,5,10515,sell
14:09:48,21.04,-3.22,-0.02,13,27352,sell
14:09:42,21.06,-3.13,0.01,10,21060,buy
14:09:39,21.05,-3.17,0.0,22,46310,sell
14:09:33,21.05,-3.17,-0.01,11,23155,sell
14:09:12,21.06,-3.13,-0.01,4,8424,sell
14:09:06,21.07,-3.08,0.01,12,25284,buy
14:09:03,21.06,-3.13,0.0,2,4212,sell
14:09:00,21.06,-3.13,0.0,10,21060,sell
14:08:57,21.06,-3.13,0.0,1,2106,sell
14:08:51,21.06,-3.13,0.0,17,35802,sell
14:08:30,21.06,-3.13,0.0,5,10530,sell
14:08:21,21.06,-3.13,0.0,5,10530,sell
14:08:12,21.06,-3.13,0.0,1,2106,sell
14:08:09,21.06,-3.13,-0.01,8,16848,sell
14:08:06,21.07,-3.08,0.01,4,8428,buy
14:07:51,21.06,-3.13,-0.02,14,29484,sell
14:07:27,21.08,-3.04,0.0,4,8432,buy
14:07:15,21.08,-3.04,0.02,10,21080,buy
14:07:09,21.06,-3.13,-0.01,5,10530,sell
14:07:06,21.07,-3.08,0.0,3,6321,norm
14:06:54,21.07,-3.08,-0.01,2,4214,buy
14:06:42,21.08,-3.04,0.01,77,162316,buy
14:06:39,21.07,-3.08,0.0,12,25284,sell
14:06:24,21.07,-3.08,-0.01,1,2107,sell
14:06:18,21.08,-3.04,0.01,5,10540,buy
14:06:15,21.07,-3.08,-0.01,2,4214,sell
14:06:12,21.08,-3.04,0.0,5,10540,buy
14:06:06,21.08,-3.04,0.0,5,10540,buy
14:05:57,21.08,-3.04,0.0,5,10540,buy
14:05:45,21.08,-3.04,0.01,10,21080,buy
14:05:42,21.07,-3.08,0.0,1,2107,sell
14:05:39,21.07,-3.08,0.0,1,2107,buy
14:05:36,21.07,-3.08,0.0,1,2107,buy
14:05:36,21.07,-3.08,0.0,1,2107,norm
14:05:36,21.07,-3.08,0.0,1,2107,buy
14:05:21,21.07,-3.08,0.0,5,10535,buy
14:05:09,21.07,-3.08,0.0,22,46354,buy
14:05:06,21.07,-3.08,0.0,4,8428,buy
14:04:54,21.07,-3.08,0.03,3,6321,norm
14:04:42,21.04,-3.22,0.0,4,8416,buy
14:04:39,21.04,-3.22,0.01,2,4208,buy
14:04:27,21.03,-3.27,0.01,6,12618,buy
14:04:18,21.02,-3.31,-0.01,13,27326,sell
14:04:09,21.03,-3.27,0.01,33,69399,buy
14:04:06,21.02,-3.31,-0.01,10,21020,sell
14:04:03,21.03,-3.27,0.01,86,180858,buy
14:03:54,21.02,-3.31,0.02,3,6306,buy
14:03:39,21.0,-3.40,0.01,27,56700,buy
14:03:36,20.99,-3.45,0.01,4,8396,buy
14:03:21,20.98,-3.50,0.0,0,1070,buy
14:03:18,20.98,-3.50,0.0,3,6294,buy
14:03:06,20.98,-3.50,0.02,4,8392,buy
14:02:36,20.96,-3.59,0.0,3,6288,buy
14:02:30,20.96,-3.59,0.0,3,6288,buy
14:02:06,20.96,-3.59,0.02,4,8384,buy
14:01:57,20.94,-3.68,-0.01,1,2094,sell
14:01:54,20.95,-3.63,0.0,5,10475,buy
14:01:51,20.95,-3.63,0.0,17,35615,buy
14:01:48,20.95,-3.63,0.0,13,27235,buy
14:01:15,20.95,-3.63,0.01,70,146650,buy
14:01:12,20.94,-3.68,0.0,4,8376,buy
14:01:06,20.94,-3.68,0.0,4,8376,buy
14:00:48,20.94,-3.68,0.0,10,20940,buy
14:00:39,20.94,-3.68,0.0,1,2094,buy
14:00:33,20.94,-3.68,0.0,5,10470,buy
14:00:27,20.94,-3.68,0.0,9,18846,sell
14:00:21,20.94,-3.68,-0.01,1,2094,sell
14:00:06,20.95,-3.63,0.01,4,8380,buy
14:00:00,20.94,-3.68,0.01,92,192648,buy
13:59:51,20.93,-3.73,0.0,8,16744,sell
13:59:39,20.93,-3.73,0.0,2,4186,sell
13:59:30,20.93,-3.73,0.0,9,18837,buy
13:59:21,20.93,-3.73,0.0,4,8372,sell
13:59:12,20.93,-3.73,-0.01,1,2093,sell
13:59:06,20.94,-3.68,0.04,4,8376,buy
13:59:00,20.9,-3.86,-0.03,10,20900,sell
13:58:51,20.93,-3.73,0.03,20,41860,buy
13:58:36,20.9,-3.86,0.0,1,2090,sell
13:58:09,20.9,-3.86,-0.04,1,2090,sell
13:58:06,20.94,-3.68,0.0,4,8376,buy
13:57:45,20.94,-3.68,0.04,1,2094,buy
13:57:33,20.9,-3.86,-0.04,60,125400,sell
13:56:57,20.94,-3.68,0.02,5,10470,buy
13:56:48,20.92,-3.77,0.0,10,20920,buy
13:56:45,20.92,-3.77,0.01,20,41840,buy
13:56:42,20.91,-3.82,0.0,13,27183,buy
13:56:27,20.91,-3.82,0.0,7,14637,norm
13:56:27,20.91,-3.82,0.0,7,14637,sell
13:56:21,20.91,-3.82,0.0,1,2091,sell
13:55:57,20.91,-3.82,-0.01,1,2091,sell
13:55:48,20.92,-3.77,0.01,2,4184,buy
13:55:36,20.91,-3.82,0.01,1,2091,norm
13:55:03,20.9,-3.86,-0.02,20,41800,sell
13:54:54,20.92,-3.77,0.0,22,46024,buy
13:54:51,20.92,-3.77,0.01,10,20920,buy
13:54:09,20.91,-3.82,0.0,1,2091,sell
13:54:06,20.91,-3.82,0.01,31,64821,buy
13:54:03,20.9,-3.86,0.0,3,6270,sell
13:53:39,20.9,-3.86,0.0,1,2090,sell
13:53:24,20.9,-3.86,-0.01,4,8360,sell
13:53:09,20.91,-3.82,0.0,24,50184,sell
13:53:06,20.91,-3.82,0.0,19,39729,buy
13:53:00,20.91,-3.82,0.0,1,2091,sell
13:52:54,20.91,-3.82,-0.01,2,4182,sell
13:52:51,20.92,-3.77,0.0,1,2092,buy
13:52:45,20.92,-3.77,0.01,1,2092,buy
13:52:18,20.91,-3.82,0.0,2,4182,norm
13:52:03,20.91,-3.82,0.0,6,12546,sell
13:51:51,20.91,-3.82,0.0,1,2091,sell
13:51:42,20.91,-3.82,-0.02,1,2091,sell
13:51:27,20.93,-3.73,0.02,6,12558,buy
13:51:21,20.91,-3.82,-0.02,4,8364,sell
13:50:48,20.93,-3.73,0.02,16,33488,buy
13:50:36,20.91,-3.82,-0.02,1,2091,norm
13:49:48,20.93,-3.73,0.0,1,2093,buy
13:48:24,20.93,-3.73,0.05,1,2093,buy
13:48:21,20.88,-3.96,-0.03,5,10440,sell
13:48:18,20.91,-3.82,0.03,1,2091,norm
13:47:36,20.88,-3.96,0.0,7,14616,buy
13:47:30,20.88,-3.96,0.0,12,25056,buy
13:47:24,20.88,-3.96,0.0,6,12528,norm
13:47:24,20.88,-3.96,-0.01,6,12528,sell
13:46:54,20.89,-3.91,0.01,24,50136,buy
13:46:12,20.88,-3.96,-0.01,5,10440,norm
13:45:12,20.89,-3.91,0.02,1,2089,buy
13:45:06,20.87,-4.00,0.0,3,6261,sell
13:44:57,20.87,-4.00,-0.02,4,8348,norm
13:44:24,20.89,-3.91,-0.01,6,12534,sell
13:44:15,20.9,-3.86,-0.03,3,6270,sell
13:43:33,20.93,-3.73,0.0,11,23023,sell
13:43:21,20.93,-3.73,0.0,24,50232,buy
13:43:12,20.93,-3.73,0.0,5,10465,sell
13:42:21,20.93,-3.73,-0.02,1,2093,sell
13:42:09,20.95,-3.63,-0.03,21,43995,sell
13:41:57,20.98,-3.50,-0.01,4,8392,sell
13:41:39,20.99,-3.45,0.0,2,4198,sell
13:41:30,20.99,-3.45,0.0,1,2099,sell
13:41:21,20.99,-3.45,0.0,16,33584,buy
13:41:00,20.99,-3.45,-0.01,3,6297,norm
13:40:54,21.0,-3.40,0.0,5,10500,buy
